Food_Item,Category,Calories (kcal),Protein (g),Carbohydrates (g),Fat (g),Fiber (g),Sugars (g),Sodium (mg),Cholesterol (mg),Meal_Type,Water_Intake (ml),Diabetes_Friendly,Heart_Friendly,Kidney_Friendly,Liver_Friendly
Potato (1/2 w/ pasta),Vegetable,65.0,1.0,15.0,0.1,1.0,0.5,3.0,0.0,Dinner,0.0,1,1,1,1
Espresso Martini (1 drink),Beverage,280.0,0.5,25.0,0.0,0.0,25.0,5.0,0.0,Snack,120.0,0,1,1,0
Vodka (1.5 oz),Beverage,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Snack,0.0,1,1,1,1
Coffee Liqueur (1 oz),Beverage,100.0,0.0,15.0,0.0,0.0,15.0,2.0,0.0,Snack,0.0,0,1,1,0
Espresso (1 oz in drink),Beverage,3.0,0.3,0.0,0.1,0.0,0.0,1.0,0.0,Snack,0.0,1,1,1,1
Simple Syrup (1/2 oz),Condiment,30.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,Snack,0.0,0,1,1,0
Coffee Beans (3 garnish),Snack,2.0,0.1,0.3,0.0,0.1,0.0,0.0,0.0,Snack,0.0,1,1,1,1
Baba Ganoush (1/4 cup),Meal/Vegetable,100.0,2.0,8.0,7.0,4.0,2.0,300.0,0.0,Snack,0.0,1,0,0,0
Pita Bread (1 white),Grain,165.0,5.5,33.0,1.2,1.5,1.5,310.0,0.0,Snack,0.0,0,0,0,1
Falafel (3 pieces),Meal/Vegetarian,180.0,6.0,18.0,9.0,4.0,1.0,320.0,0.0,Lunch,0.0,1,0,0,0
Tahini Sauce (1 tbsp),Condiment,30.0,1.0,1.5,2.5,0.5,0.0,45.0,0.0,Lunch,0.0,1,1,1,1
Pickled Turnips (2 tbsp),Vegetable,10.0,0.2,2.0,0.0,0.5,1.0,200.0,0.0,Lunch,0.0,1,0,0,1
Shawarma (Chicken 1 wrap),Meal/Processed,550.0,30.0,50.0,25.0,6.0,5.0,1100.0,80.0,Lunch,250.0,0,0,0,0
Garlic Sauce (1 tbsp),Condiment,90.0,0.1,1.0,10.0,0.0,0.5,80.0,5.0,Lunch,0.0,1,1,1,0
Hummus (1/4 cup),Legume,130.0,5.0,10.0,8.0,4.0,1.0,250.0,0.0,Lunch,0.0,1,0,0,0
Tabouli (1/2 cup),Meal/Vegetarian,120.0,3.0,15.0,6.0,4.0,2.0,300.0,0.0,Lunch,0.0,1,0,0,1
Bulgur (1/4 cup in tabouli),Grain,76.0,2.7,16.8,0.2,4.1,0.1,4.0,0.0,Lunch,0.0,1,1,1,1
Parsley (1/4 cup in tabouli),Vegetable,5.0,0.3,1.0,0.1,0.5,0.1,5.0,0.0,Lunch,0.0,1,1,1,1
Mint (1 tbsp in tabouli),Condiment,1.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,Lunch,0.0,1,1,1,1
Lemon Juice (1 tbsp dressing),Condiment,4.0,0.1,1.3,0.0,0.1,0.2,0.0,0.0,Lunch,0.0,1,1,1,1
Olive Oil (1 tbsp dressing),Condiment,120.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,Lunch,0.0,1,1,1,0
Kibbeh (1 piece fried),Meal/Meat,230.0,9.0,20.0,13.0,3.0,1.0,450.0,30.0,Snack,0.0,1,0,0,0
Pine Nuts (1/2 tbsp filling),Nut,48.0,1.0,1.0,5.0,0.2,0.2,0.0,0.0,Snack,0.0,1,1,1,1
Ground Lamb (1 oz filling),Protein/Meat,80.0,5.5,0.0,6.0,0.0,0.0,20.0,20.0,Snack,0.0,1,0,1,1
Bulgur (1 tbsp shell),Grain,15.0,0.5,3.4,0.0,0.8,0.0,1.0,0.0,Snack,0.0,1,1,1,1
Lentil Soup (1 cup Middle Eastern),Meal/Legume,200.0,10.0,30.0,5.0,10.0,4.0,700.0,0.0,Lunch,250.0,0,0,0,1
Cumin (1 tsp),Condiment,8.0,0.3,1.5,0.5,0.4,0.1,3.0,0.0,Lunch,0.0,1,1,1,1
Coriander (1 tsp),Condiment,5.0,0.1,1.0,0.2,0.5,0.0,1.0,0.0,Lunch,0.0,1,1,1,1
Lemon Juice (1 tsp in soup),Condiment,1.0,0.0,0.4,0.0,0.0,0.1,0.0,0.0,Lunch,0.0,1,1,1,1
Pita Crisps (1 oz),Snack/Processed,130.0,3.0,18.0,5.0,2.0,1.0,240.0,0.0,Lunch,0.0,1,0,0,1
Manakeesh (Za'atar 1 small),Meal/Vegetarian,300.0,7.0,45.0,10.0,4.0,2.0,500.0,0.0,Breakfast,0.0,0,0,0,0
Za'atar (1 tbsp),Condiment,40.0,1.0,3.0,3.0,1.5,0.0,150.0,0.0,Breakfast,0.0,1,0,1,1
Olive Oil (1 tbsp on bread),Condiment,120.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,Breakfast,0.0,1,1,1,0
Labneh (2 tbsp),Dairy,60.0,4.0,2.0,4.0,0.0,2.0,80.0,15.0,Breakfast,0.0,1,1,1,1
Cucumber (1/4 cup side),Vegetable,8.0,0.3,1.8,0.0,0.2,0.8,1.0,0.0,Breakfast,0.0,1,1,1,1
Tomato (1/4 cup side),Vegetable,8.0,0.3,1.8,0.1,0.5,1.2,2.0,0.0,Breakfast,0.0,1,1,1,1
Olives (5 side),Fruit,35.0,0.2,1.0,3.5,0.5,0.0,210.0,0.0,Breakfast,0.0,1,0,0,1
Mint Tea (1 cup),Beverage,2.0,0.1,0.5,0.0,0.0,0.0,5.0,0.0,Breakfast,240.0,1,1,1,1
Stuffed Grape Leaves (3 pcs),Meal/Vegetarian,150.0,3.0,20.0,7.0,3.0,3.0,400.0,0.0,Snack,0.0,1,0,0,0
Rice (1/4 cup filling),Grain,51.0,1.1,11.1,0.1,0.1,0.0,0.0,0.0,Snack,0.0,1,1,1,1
Turkish Coffee (1 small cup),Beverage,5.0,0.2,0.5,0.0,0.0,0.0,1.0,0.0,Snack,60.0,1,1,1,1
Cardamom (in coffee),Condiment,1.0,0.0,0.2,0.0,0.1,0.0,0.0,0.0,Snack,0.0,1,1,1,1
Shish Tawook (2 skewers),Meal/Meat,300.0,35.0,5.0,16.0,1.0,2.0,600.0,100.0,Dinner,0.0,1,0,0,0
Garlic Sauce (Toum 1 tbsp),Condiment,90.0,0.1,1.0,10.0,0.0,0.5,80.0,5.0,Dinner,0.0,1,1,1,0
French Fries (side),Vegetable/Processed,340.0,4.0,44.0,17.0,4.0,0.3,230.0,0.0,Dinner,0.0,0,0,0,0
Pickled Cucumber (1/4 cup),Vegetable,10.0,0.5,2.0,0.0,1.0,1.0,300.0,0.0,Dinner,0.0,1,0,0,1
Fattoush Salad (1.5 cups),Meal/Vegetarian,250.0,5.0,25.0,15.0,6.0,5.0,500.0,0.0,Lunch,0.0,0,0,0,0
Fried Pita (1/2 pita in salad),Grain,80.0,2.0,12.0,3.0,1.0,0.5,150.0,0.0,Lunch,0.0,1,0,1,1
Sumac (1/2 tsp dressing),Condiment,5.0,0.1,1.0,0.2,0.5,0.0,1.0,0.0,Lunch,0.0,1,1,1,1
Pomegranate Molasses (1 tsp),Condiment,15.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,Lunch,0.0,1,1,1,1
Sausage Link (1 cooked) (70% portion),Protein/Meat,59.49999999999999,3.5,0.7,4.9,0.0,0.35,210.0,14.0,Breakfast,0.0,1,0,0,1
Passion Fruit (1 fruit) (50% portion),Fruit,8.5,0.2,2.1,0.05,0.95,1.0,2.5,0.0,Snack,0.0,1,1,1,1
Chocolate Pudding (1/2 cup) (130% portion),Dessert,195.0,2.6,36.4,5.2,2.6,28.6,169.0,2.6,Snack,0.0,0,0,1,0
Bell Pepper (1 medium red) (130% portion),Vegetable,40.3,1.56,7.800000000000001,0.39,2.7300000000000004,5.460000000000001,5.2,0.0,Lunch,0.0,0,1,1,1
Mixed Nuts (1/4 cup) (130% portion),Nut,260.0,7.800000000000001,10.4,23.4,3.9,2.6,1.3,0.0,Snack,0.0,1,1,1,0
Lentil Soup (1 can) (50% portion),Meal/Legume,115.0,7.5,17.5,1.5,6.0,3.0,325.0,0.0,Lunch,125.0,1,0,0,1
Garlic Sauce (1 tbsp) (150% portion),Condiment,135.0,0.15,1.5,15.0,0.0,0.75,120.0,7.5,Lunch,0.0,1,1,1,0
Mixed Nuts (1/4 cup) (150% portion),Nut,300.0,9.0,12.0,27.0,4.5,3.0,1.5,0.0,Snack,0.0,1,1,1,0
Malva Pudding (1 slice) (130% portion),Dessert,494.0,6.5,78.0,18.2,2.6,52.0,455.0,78.0,Snack,0.0,0,0,0,0
Rice Krispies (1.5 cups) (70% portion),Grain,112.0,2.1,25.9,0.35,0.35,2.8,203.0,0.0,Breakfast,0.0,1,0,0,1
Fried Okra (1 cup) (50% portion),Vegetable,110.0,2.0,12.5,6.0,2.5,1.5,225.0,5.0,Dinner,0.0,1,0,0,1
Arugula (2 cups) (70% portion),Vegetable,7.0,0.7,0.5599999999999999,0.1399999999999999,0.2799999999999999,0.2799999999999999,4.199999999999999,0.0,Lunch,0.0,1,1,1,1
Iced Tea (Sweetened 16oz) (130% portion),Beverage,234.0,0.0,59.8,0.0,0.0,59.8,19.5,0.0,Snack,650.0,0,1,1,0
Italian Dressing (2 tbsp) (50% portion),Condiment,35.0,0.0,1.5,3.5,0.0,1.0,150.0,0.0,Lunch,0.0,1,0,1,1
Tzatziki Sauce (2 tbsp) (150% portion),Condiment/Dairy,45.0,2.25,3.0,3.0,0.0,2.25,150.0,7.5,Dinner,0.0,1,0,1,1
Beef Tacos (2 hard shell) (150% portion),Meal/Meat,570.0,27.0,42.0,33.0,7.5,4.5,900.0,75.0,Dinner,750.0,0,0,0,0
Matcha Latte (12 oz) (50% portion),Beverage,90.0,3.0,14.0,2.5,1.0,12.5,45.0,10.0,Snack,177.5,0,1,1,0
Bread Roll (hoagie) (50% portion),Grain,100.0,3.0,19.0,1.0,1.0,1.5,200.0,0.0,Lunch,0.0,1,0,0,1
Angostura Bitters (dash) (70% portion),Condiment,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Snack,0.0,1,1,1,1
Oyster (1 medium raw) (50% portion),Protein/Seafood,4.0,0.5,0.25,0.1,0.0,0.0,25.0,5.0,Dinner,0.0,1,1,1,1
Frosting (Vanilla 2 tbsp) (50% portion),Condiment,70.0,0.0,11.0,3.0,0.0,11.0,32.5,0.0,Snack,0.0,0,1,1,0
T-Bone Steak (6oz) (130% portion),Protein/Meat,598.0,49.4,0.0,42.9,0.0,0.0,143.0,136.5,Dinner,0.0,1,0,0,0
Potato Leek Soup (1 cup) (130% portion),Meal/Vegetable,234.0,5.2,32.5,9.1,3.9,5.2,845.0,19.5,Lunch,325.0,0,0,0,0
Beef Jerky (1 oz) (150% portion),Snack/Processed,174.0,14.1,4.65,10.8,0.75,3.75,885.0,45.0,Snack,0.0,1,0,0,0
Goat Cheese (1 oz) (130% portion),Dairy,133.9,7.93,0.13,11.05,0.0,0.13,189.8,28.6,Lunch,0.0,1,0,1,0
Pico de Gallo (1/4 cup) (130% portion),Condiment,19.5,0.65,3.9,0.0,1.3,2.6,260.0,0.0,Dinner,0.0,1,0,0,1
White Rice (1 cup cooked) (70% portion),Grain,142.79999999999998,2.94,31.15,0.2799999999999999,0.42,0.0699999999999999,1.4,0.0,Dinner,0.0,0,1,1,1
White Wine (5 oz glass) (130% portion),Beverage,157.3,0.13,4.94,0.0,0.0,1.82,6.5,0.0,Dinner,0.0,1,1,1,1
Berry Coulis (1 tbsp) (130% portion),Condiment,26.0,0.0,6.5,0.0,0.65,5.8500000000000005,0.0,0.0,Snack,0.0,0,1,1,1
Gazpacho (1 cup) (70% portion),Meal/Soup,62.99999999999999,1.4,8.399999999999999,2.8,2.1,4.9,420.0,0.0,Lunch,168.0,1,0,0,1
Pita Bread (1 whole wheat) (130% portion),Grain,221.0,7.800000000000001,45.5,1.95,6.5,2.6,416.0,0.0,Snack,0.0,0,0,0,1
Basil (2 tbsp fresh) (130% portion),Condiment,1.3,0.13,0.13,0.0,0.13,0.0,0.0,0.0,Dinner,0.0,1,1,1,1
Croutons (Garlic 1/4 cup) (50% portion),Grain,25.0,0.75,3.5,1.0,0.25,0.25,70.0,0.0,Lunch,0.0,1,1,1,1
Avocado (1/2 fruit) (130% portion),Fruit,208.0,2.6,11.05,19.11,8.71,0.91,9.1,0.0,Breakfast,0.0,1,1,1,0
Prosciutto (1 slice wrapper) (50% portion),Protein/Meat,17.5,2.0,0.0,1.25,0.0,0.0,140.0,5.0,Dinner,0.0,1,0,1,1
Caponata (1/2 cup) (150% portion),Meal/Vegetable,270.0,3.0,22.5,21.0,7.5,13.5,600.0,0.0,Dinner,0.0,0,0,0,0
Ginger Ale (1 can) (130% portion),Beverage,161.20000000000002,0.0,41.6,0.0,0.0,40.3,52.0,0.0,Snack,461.5,0,1,1,0
Flan (1 slice) (150% portion),Dessert,330.0,9.0,52.5,10.5,0.0,49.5,120.0,135.0,Snack,0.0,0,0,1,0
Beef Tacos (2 hard shell) (130% portion),Meal/Meat,494.0,23.4,36.4,28.6,6.5,3.9,780.0,65.0,Dinner,650.0,0,0,0,0
Corn Nuts (1 oz) (130% portion),Snack/Processed,169.0,2.6,29.9,5.2,2.6,0.0,234.0,0.0,Snack,0.0,1,0,0,1
Pickled Cucumber (1/4 cup) (130% portion),Vegetable,13.0,0.65,2.6,0.0,1.3,1.3,390.0,0.0,Dinner,0.0,1,0,0,1
Lentil Soup (1 can) (130% portion),Meal/Legume,299.0,19.5,45.5,3.9,15.6,7.800000000000001,845.0,0.0,Lunch,325.0,0,0,0,0
Saltine Crackers (5 crackers) (70% portion),Grain/Processed,42.0,0.7,7.0,1.0499999999999998,0.35,0.0,98.0,0.0,Lunch,0.0,1,1,1,1
Ham (3oz deli sliced) (50% portion),Protein/Meat,55.0,8.0,1.0,2.0,0.0,0.75,475.0,22.5,Lunch,0.0,1,0,0,1
Bison Burger (1 patty) (130% portion),Protein/Meat,195.0,28.6,0.0,9.1,0.0,0.0,84.5,91.0,Lunch,325.0,1,0,0,0
Green Beans (1/2 cup w/ pasta) (70% portion),Vegetable,10.5,0.63,2.45,0.0699999999999999,0.91,1.12,2.1,0.0,Dinner,0.0,1,1,1,1
Mussels (3oz steamed) (130% portion),Protein/Seafood,189.8,26.0,7.800000000000001,5.2,0.0,0.0,403.0,62.400000000000006,Dinner,0.0,1,0,0,1
Turkey Sandwich (on wheat) (70% portion),Meal/Processed,238.0,15.4,23.8,8.399999999999999,3.5,4.199999999999999,595.0,35.0,Lunch,350.0,1,0,0,0
Salami (3 slices) (70% portion),Protein/Processed,77.0,4.199999999999999,0.7,6.3,0.0,0.35,350.0,21.0,Snack,0.0,1,0,0,1
Mayonnaise (1 tbsp for dipping) (50% portion),Condiment,45.0,0.05,0.05,5.0,0.0,0.05,35.0,2.5,Dinner,0.0,1,1,1,1
White Wine Sauce (1/4 cup) (70% portion),Condiment,56.0,0.7,2.8,4.199999999999999,0.35,1.4,210.0,3.5,Dinner,0.0,1,0,0,1
Marshmallow (1 large) (130% portion),Dessert,29.9,0.13,7.54,0.0,0.0,5.2,6.5,0.0,Snack,0.0,0,1,1,1
White Bread (1 slice) (70% portion),Grain,49.0,1.4,9.1,0.7,0.42,0.84,98.0,0.0,Breakfast,0.0,1,1,1,1
Gummy Bears (10 pcs) (70% portion),Snack/Dessert,70.0,1.4,15.4,0.0,0.0,10.5,7.0,0.0,Snack,0.0,0,1,1,0
Congee (1 cup plain) (130% portion),Meal/Grain,169.0,3.25,36.4,1.3,1.3,0.65,390.0,0.0,Breakfast,0.0,0,0,0,1
Sea Salt (coarse 1/4 tsp) (50% portion),Condiment,0.0,0.0,0.0,0.0,0.0,0.0,275.0,0.0,Snack,0.0,1,0,0,1
Pizza (Margherita 1 slice) (70% portion),Meal/Processed,175.0,8.399999999999999,21.0,7.0,2.1,2.8,420.0,17.5,Dinner,175.0,1,0,0,0
Chicken Wrap (with tortilla) (150% portion),Meal/Processed,615.0,37.5,57.0,25.5,7.5,4.5,1170.0,90.0,Lunch,375.0,0,0,0,0
Cashews (1 oz roasted) (50% portion),Nut,81.5,2.15,4.6,6.55,0.45,0.7,70.0,0.0,Snack,0.0,1,1,1,1
Beef Tacos (2 hard shell) (130% portion),Meal/Meat,494.0,23.4,36.4,28.6,6.5,3.9,780.0,65.0,Dinner,650.0,0,0,0,0
Saltimbocca (1 serving) (130% portion),Meal/Meat,494.0,49.4,6.5,28.6,0.65,1.3,1105.0,156.0,Dinner,0.0,1,0,0,0
Bison Burger (1 patty) (130% portion),Protein/Meat,195.0,28.6,0.0,9.1,0.0,0.0,84.5,91.0,Lunch,325.0,1,0,0,0
Whole Wheat Toast (1 slice) (150% portion),Grain,120.0,6.0,21.0,1.5,3.0,3.0,210.0,0.0,Breakfast,0.0,1,0,0,1
Spicy Mustard (1 tbsp) (130% portion),Condiment,13.0,0.65,1.3,0.65,0.65,0.0,156.0,0.0,Lunch,0.0,1,0,1,1
Polenta (grilled 1 slice) (130% portion),Meal/Grain,156.0,3.25,32.5,1.3,2.6,0.65,390.0,0.0,Dinner,0.0,0,0,0,1
Brown Rice (1 cup cooked) (150% portion),Grain,322.5,7.5,67.5,2.7,5.25,0.6000000000000001,15.0,0.0,Lunch,0.0,0,1,1,1
Olive Oil (1 tsp garnish) (150% portion),Condiment,60.0,0.0,0.0,6.75,0.0,0.0,0.0,0.0,Lunch,0.0,1,1,1,1
Celery (1 stalk) (70% portion),Vegetable,4.199999999999999,0.21,0.84,0.0699999999999999,0.42,0.35,22.4,0.0,Lunch,0.0,1,1,1,1
Panettone (1 slice) (70% portion),Dessert,224.0,4.199999999999999,35.0,8.399999999999999,2.1,17.5,140.0,49.0,Snack,0.0,0,0,1,0
Figs (2 medium) (50% portion),Fruit,37.0,0.3,9.6,0.15,1.45,8.1,1.0,0.0,Snack,0.0,0,1,1,0
Breadstick (1 large) (150% portion),Grain,240.0,6.0,42.0,4.5,1.5,3.0,525.0,0.0,Dinner,0.0,0,0,0,1
Black Pepper (1 tsp) (50% portion),Condiment,3.0,0.1,0.75,0.05,0.3,0.0,0.0,0.0,Lunch,0.0,1,1,1,1
Chocolate Pudding (1/2 cup) (150% portion),Dessert,225.0,3.0,42.0,6.0,3.0,33.0,195.0,3.0,Snack,0.0,0,0,1,0
Pickled Radish (1/4 cup) (150% portion),Vegetable,22.5,0.75,4.5,0.0,1.5,3.0,375.0,0.0,Breakfast,0.0,1,0,0,1
Walnuts (1 tbsp chopped) (150% portion),Nut,69.0,1.65,1.5,6.9,0.75,0.3,0.0,0.0,Lunch,0.0,1,1,1,1
Sweet Chili Sauce (2 tbsp) (70% portion),Condiment,49.0,0.0,11.9,0.0,0.35,11.2,315.0,0.0,Dinner,0.0,0,0,0,0
Ants on a Log (4 pcs) (70% portion),Snack,126.0,4.199999999999999,8.399999999999999,8.399999999999999,2.1,4.9,84.0,0.0,Snack,175.0,1,1,1,0
S'more (1 serving) (50% portion),Dessert,70.0,1.0,12.5,2.0,0.5,7.5,45.0,0.0,Snack,0.0,0,1,1,0
Sausage Link (1 cooked) (70% portion),Protein/Meat,59.49999999999999,3.5,0.7,4.9,0.0,0.35,210.0,14.0,Breakfast,0.0,1,0,0,1
Tuna (Canned 3oz in water) (130% portion),Protein/Fish,117.0,26.0,0.0,1.3,0.0,0.0,325.0,45.5,Lunch,0.0,1,0,0,1
Oat Milk (1 cup) (130% portion),Beverage/Dairy-Alt,156.0,3.9,20.8,6.5,2.6,9.1,130.0,0.0,Breakfast,0.0,0,1,1,0
Salsa (2 tbsp) (130% portion),Condiment,13.0,0.65,2.6,0.0,0.65,1.3,156.0,0.0,Lunch,0.0,1,0,1,1
Alfajores (1 cookie) (150% portion),Dessert,270.0,3.0,33.0,15.0,1.5,22.5,90.0,30.0,Snack,0.0,0,0,1,0
Black Beans (1/2 cup) (50% portion),Legume,57.0,3.8,10.2,0.25,3.75,0.15,0.5,0.0,Lunch,0.0,1,1,1,1
Grits (1 cup cooked) (70% portion),Grain,105.0,2.1,22.4,0.7,1.4,0.35,224.0,0.0,Breakfast,0.0,1,0,0,1
Carrot Sticks (1 cup) (150% portion),Vegetable,78.0,1.7999999999999998,18.450000000000003,0.4499999999999999,5.4,9.0,132.0,0.0,Snack,0.0,0,1,1,0
Cheddar Cheese (1 oz) (50% portion),Dairy,57.5,3.5,0.5,4.75,0.0,0.25,90.0,15.0,Snack,0.0,1,1,1,1
Orange Slice (garnish) (50% portion),Fruit,2.5,0.05,0.5,0.0,0.1,0.4,0.0,0.0,Snack,0.0,1,1,1,1
Bread Roll (hoagie) (50% portion),Grain,100.0,3.0,19.0,1.0,1.0,1.5,200.0,0.0,Lunch,0.0,1,0,0,1
Tomato Soup (1 can) (150% portion),Meal/Vegetable,255.0,6.0,37.5,9.0,6.0,22.5,1350.0,15.0,Lunch,0.0,0,0,0,0
Fattoush Salad (1.5 cups) (70% portion),Meal/Vegetarian,175.0,3.5,17.5,10.5,4.199999999999999,3.5,350.0,0.0,Lunch,0.0,1,0,0,0
Chorizo (1 oz in paella) (130% portion),Protein/Meat,169.0,7.800000000000001,1.3,14.3,0.0,0.65,455.0,39.0,Dinner,0.0,1,0,0,0
Soda (1 can Coke) (130% portion),Beverage,182.0,0.0,50.7,0.0,0.0,50.7,58.5,0.0,Snack,461.5,0,1,1,0
Lasagna (1 serving meat) (150% portion),Meal/Pasta,525.0,30.0,45.0,25.5,6.0,10.5,1275.0,82.5,Dinner,375.0,0,0,0,0
Skirt Steak (4oz grilled) (130% portion),Protein/Meat,312.0,33.800000000000004,0.0,19.5,0.0,0.0,91.0,104.0,Dinner,0.0,1,0,0,0
Tomato Sauce (1/2 cup) (130% portion),Condiment,52.0,1.95,9.1,1.3,2.6,5.2,455.0,0.0,Dinner,0.0,0,0,0,1
Salami (3 slices) (150% portion),Protein/Processed,165.0,9.0,1.5,13.5,0.0,0.75,750.0,45.0,Lunch,0.0,1,0,0,0
Lime Wedge (garnish) (50% portion),Condiment,1.5,0.05,0.5,0.0,0.15,0.1,0.0,0.0,Dinner,0.0,1,1,1,1
Pesto Sauce (1/4 cup) (50% portion),Condiment,130.0,2.5,2.0,13.0,1.0,0.5,275.0,2.5,Dinner,0.0,1,0,0,0
Sour Cream (1 tbsp) (150% portion),Condiment/Dairy,45.0,0.6000000000000001,0.8999999999999999,4.35,0.0,0.6000000000000001,18.0,9.0,Lunch,0.0,1,1,1,1
Pisco Sour (1 drink) (50% portion),Beverage,125.0,0.5,12.5,0.0,0.0,12.0,2.5,2.5,Snack,90.0,0,1,1,0
Egg Drop Soup (1 cup) (70% portion),Meal/Vegetable,45.5,3.5,4.199999999999999,1.4,0.35,0.7,546.0,35.0,Dinner,0.0,1,0,0,1
Black Beans (1/2 cup) (70% portion),Legume,79.8,5.319999999999999,14.279999999999998,0.35,5.25,0.21,0.7,0.0,Lunch,0.0,1,1,1,1
Crackers (5 whole wheat) (130% portion),Grain/Processed,117.0,2.6,18.2,3.9,2.6,0.0,234.0,0.0,Lunch,0.0,1,0,0,1
English Muffin (whole wheat) (130% portion),Grain,174.20000000000002,7.800000000000001,33.800000000000004,1.3,5.720000000000001,1.3,273.0,0.0,Breakfast,325.0,0,0,0,1
Chicken Alfredo (1.5 cups) (50% portion),Meal/Pasta,340.0,17.5,22.5,19.0,2.0,2.5,490.0,60.0,Dinner,125.0,1,0,0,0
Avocado Toast (1 slice) (150% portion),Meal/Vegetarian,390.0,10.5,42.0,22.5,15.0,1.5,525.0,0.0,Breakfast,750.0,0,0,0,0
Chocolate Chip Cookie (1 large) (150% portion),Dessert,330.0,3.75,45.0,16.5,2.25,28.5,240.0,30.0,Snack,0.0,0,0,0,0
Chicken Milanesa (1 serving) (50% portion),Meal/Meat,225.0,17.5,15.0,11.0,1.5,1.0,350.0,50.0,Dinner,0.0,1,0,0,0
Coconut Flakes (1 tbsp topping) (150% portion),Fruit,52.5,0.4499999999999999,2.25,4.949999999999999,1.0499999999999998,0.75,1.5,0.0,Breakfast,0.0,1,1,1,1
Pecorino Romano (1/4 cup) (70% portion),Dairy,77.0,5.25,0.7,5.949999999999999,0.0,0.0,315.0,17.5,Dinner,0.0,1,0,0,1
Potato Chips (1 oz) (130% portion),Snack/Processed,208.0,2.6,19.5,13.0,1.3,0.65,221.0,0.0,Snack,0.0,1,0,0,0
Negroni (1 drink) (130% portion),Beverage,247.0,0.0,19.5,0.0,0.0,19.5,6.5,0.0,Snack,117.0,0,1,1,0
Pickled Turnips (2 tbsp) (50% portion),Vegetable,5.0,0.1,1.0,0.0,0.25,0.5,100.0,0.0,Lunch,0.0,1,1,1,1
Walnuts (1 tbsp chopped) (150% portion),Nut,69.0,1.65,1.5,6.9,0.75,0.3,0.0,0.0,Lunch,0.0,1,1,1,1
Cardamom (in coffee) (130% portion),Condiment,1.3,0.0,0.26,0.0,0.13,0.0,0.0,0.0,Snack,0.0,1,1,1,1
Grilled Chicken Salad (150% portion),Meal/Protein,525.0,45.0,15.0,30.0,7.5,6.0,600.0,120.0,Lunch,750.0,0,0,0,0
Mayonnaise (1 tbsp) (70% portion),Condiment,62.99999999999999,0.0699999999999999,0.0699999999999999,7.0,0.0,0.0699999999999999,49.0,3.5,Lunch,0.0,1,1,1,0
Chicken Milanesa (1 serving) (150% portion),Meal/Meat,675.0,52.5,45.0,33.0,4.5,3.0,1050.0,150.0,Dinner,0.0,0,0,0,0
Thai Iced Tea (1 glass) (150% portion),Beverage,375.0,4.5,52.5,18.0,0.0,49.5,75.0,52.5,Snack,450.0,0,0,1,0
Pepperoncini (2 peppers) (130% portion),Vegetable,13.0,0.65,2.6,0.0,1.3,1.3,455.0,0.0,Lunch,0.0,1,0,0,1
Eggo Waffle (2 waffles) (130% portion),Grain/Processed,234.0,5.2,39.0,6.5,1.3,5.2,520.0,0.0,Breakfast,0.0,0,0,0,1
Carrot Sticks (1 cup) (130% portion),Vegetable,67.60000000000001,1.56,15.990000000000002,0.39,4.680000000000001,7.800000000000001,114.4,0.0,Snack,0.0,0,1,1,0
Risotto alla Milanese (1 cup) (150% portion),Meal/Rice,525.0,15.0,75.0,18.0,4.5,4.5,1050.0,45.0,Dinner,0.0,0,0,0,0
Beets (1/2 cup roasted) (70% portion),Vegetable,21.0,0.5599999999999999,4.76,0.0699999999999999,0.98,4.06,35.0,0.0,Lunch,0.0,1,1,1,1
Black Pepper (1/2 tsp) (150% portion),Condiment,4.5,0.15,1.0499999999999998,0.0,0.4499999999999999,0.0,0.0,0.0,Dinner,0.0,1,1,1,1
Garlic (1 clove) (70% portion),Vegetable,2.8,0.1399999999999999,0.63,0.0,0.0699999999999999,0.0,0.7,0.0,Dinner,0.0,1,1,1,1
Sage (2 leaves) (150% portion),Condiment,1.5,0.0,0.15,0.0,0.15,0.0,0.0,0.0,Dinner,0.0,1,1,1,1
Ketchup (1 tbsp) (70% portion),Condiment,14.0,0.1399999999999999,3.5,0.0699999999999999,0.1399999999999999,2.8,112.0,0.0,Lunch,0.0,1,1,1,1
Corn Nuts (1 oz) (70% portion),Snack/Processed,91.0,1.4,16.099999999999998,2.8,1.4,0.0,126.0,0.0,Snack,0.0,1,1,1,1
Coconut Flakes (1 tbsp topping) (150% portion),Fruit,52.5,0.4499999999999999,2.25,4.949999999999999,1.0499999999999998,0.75,1.5,0.0,Breakfast,0.0,1,1,1,1
Egg Drop Soup (1 cup) (130% portion),Meal/Vegetable,84.5,6.5,7.800000000000001,2.6,0.65,1.3,1014.0,65.0,Dinner,0.0,1,0,0,1
Spring Roll (Veg 2 rolls) (70% portion),Snack/Processed,126.0,2.8,17.5,4.9,2.1,2.1,315.0,0.0,Dinner,0.0,1,0,0,1
